ISO3,t,x,y,z,dx,dy,dz
ABW,1950,0.404133289093236,0.05922643029814664,,0.006868975127456489,-0.00659485135077819,
ABW,1951,0.41100226422069247,0.05263157894736845,,0.006043241473145444,-0.005663041341030982,
ABW,1952,0.4170455056938379,0.04696853760633747,,0.004881550241634558,-0.004819668590030267,
ABW,1953,0.4219270559354725,0.042148869016307204,,0.0038522770706937437,-0.0038276621970100705,
ABW,1954,0.4257793330061662,0.038321206819297134,,0.003160215216023776,-0.0032845284460297428,
ABW,1955,0.42893954822219,0.03503667837326739,,0.0024274456055951577,-0.002354294481736477,
ABW,1956,0.43136699382778515,0.032682383891530914,,0.001568011693590332,-0.0018809956599486581,
ABW,1957,0.4329350055213755,0.030801388231582256,,-0.00018095884522467687,-0.0010809068597494205,
ABW,1958,0.4327540466761508,0.029720481371832835,,-0.0020552207637005715,-0.0008371774219472147,
ABW,1959,0.43069882591245023,0.02888330394988562,,-0.0034868211544666905,-0.00035370380348611827,
ABW,1960,0.42721200475798354,0.028529600146399502,,-0.004160862527145981,5.787426436881446e-5,
ABW,1961,0.42305114223083756,0.028587474410768317,,-0.0025750708916187914,0.00023771591054410138,
ABW,1962,0.42047607133921877,0.028825190321312418,,-0.0035888761096925514,0.0003904336863090538,
ABW,1963,0.4168871952295262,0.029215624007621472,,-0.005100938883684181,0.0005465922830922391,
ABW,1964,0.41178625634584204,0.02976221629071371,,-0.006602976825148543,0.0009023554239814616,
ABW,1965,0.4051832795206935,0.030664571714695173,,-0.00679455502827947,0.0010477933709145335,
ABW,1966,0.398388724492414,0.031712365085609706,,-0.007067406228829287,0.0013460471602579765,
ABW,1967,0.39132131826358474,0.03305841224586768,,-0.0033948090772331074,0.0017057906158713665,
ABW,1968,0.38792650918635163,0.03476420286173905,,-0.003304614934100558,0.001980093394438602,
ABW,1969,0.3846218942522511,0.03674429625617765,,-0.0035476821207704456,0.0023272049298609584,
ABW,1970,0.3810742121314806,0.03907150118603861,,-0.004161455894324206,0.002368012409178874,
ABW,1971,0.3769127562371564,0.041439513595217484,,-0.005235864621614739,0.0024084754981703524,
ABW,1972,0.3716768916155417,0.043847989093387836,,-0.011168695171563325,0.0023701428955820725,
ABW,1973,0.36050819644397836,0.04621813198896991,,-0.0113114092953841,0.0022256431114316966,
ABW,1974,0.34919678714859426,0.048443775100401605,,-0.011272708053296221,0.0022307834605401547,
ABW,1975,0.33792407909529804,0.05067455856094176,,-0.010958540422394358,0.002056015031246791,
ABW,1976,0.3269655386729037,0.05273057359218855,,-0.011710086807298847,0.0025453991118390834,
ABW,1977,0.31525545186560483,0.055275972704027634,,-0.009969916090463105,0.0023504858084924737,
ABW,1978,0.3052855357751417,0.05762645851252011,,-0.008490155863466908,0.0019202681160771992,
ABW,1979,0.2967953799116748,0.05954672662859731,,-0.00693656587375624,0.001477880067651198,
ABW,1980,0.2898588140379186,0.061024606696248505,,-0.005170473700092659,0.0015005531188973173,
ABW,1981,0.2846883403378259,0.06252515981514582,,-0.0028161335108704555,0.002092245557357361,
ABW,1982,0.28187220682695546,0.06461740537250318,,-0.005212167065523965,0.0026112228581131325,
ABW,1983,0.2766600397614315,0.06722862823061632,,-0.003894001667998359,0.0017249078886546337,
ABW,1984,0.27276603809343314,0.06895353611927095,,-0.0044426857412224185,0.001290565671018401,
ABW,1985,0.2683233523522107,0.07024410179028935,,-0.005537254584479845,0.0011665289591376304,
ABW,1986,0.2627860977677309,0.07141063074942698,3.830432065360949,-0.006636525050902342,0.0015343968705349431,0.08570832311147702
ABW,1987,0.25614957271682853,0.07294502761996192,3.916140388472426,-0.00657233052006842,0.0019660747111324844,0.08629616486490832
ABW,1988,0.2495772421967601,0.07491110233109441,4.0024365533373345,-0.0042183117019239935,0.0014843864859872269,0.05853375530328808
ABW,1989,0.24535893049483612,0.07639548881708164,4.060970308640623,0.002881391274897338,-0.0018134123967699367,0.02494561573151355
ABW,1990,0.24824032176973346,0.0745820764203117,4.085915924372136,0.011289255954207628,-0.004816060903123198,0.03577489483424934
ABW,1991,0.2595295777239411,0.0697660155171885,4.1216908192063855,0.01684514968809403,-0.00686450081217288,0.021092873028000447
ABW,1992,0.2763747274120351,0.06290151470501562,4.142783692234386,-0.00200045187861303,-0.0007082949966626118,0.02456199806337178
ABW,1993,0.2743742755334221,0.06219321970835301,4.167345690297758,-0.0026483815889961626,-3.225435907813767e-5,0.03827240437516277
ABW,1994,0.2717258939444259,0.06216096534927487,4.2056180946729205,-0.0032803064183046793,0.0003691744996240226,0.013146244705812826
ABW,1995,0.26844558752612124,0.0625301398488989,4.218764339378733,-0.009609559333749573,0.0005528825391608455,0.001891622803179338
ABW,1996,0.25883602819237167,0.06308302238805974,4.220655962181913,-0.007858339548601212,0.0005544807455577228,0.028542629116475204
ABW,1997,0.25097768864377046,0.06363750313361746,4.249198591298388,-0.006136423616414977,0.0010574612617096357,0.02560760649371474
ABW,1998,0.24484126502735548,0.0646949643953271,4.274806197792103,-0.0050531986277596586,0.0009527606079035855,0.008861250000075316
ABW,1999,0.23978806639959582,0.06564772500323068,4.283667447792178,-0.004095415355438309,0.0011806323559731546,0.03190457044474737
ABW,2000,0.23569265104415751,0.06682835735920384,4.315572018236925,-0.00241765968397209,0.001888825280900494,0.0012395100252762248
ABW,2001,0.23327499136018542,0.06871718264010433,4.3168115282622015,-0.003209761294955399,0.0028708889479672622,0.011715837594346468
ABW,2002,0.23006523006523003,0.0715880715880716,4.328527365856548,-0.0036150079591417694,0.002469066291903979,0.012896988790959796
