x1,x2
0.155,0.16
0.15,0.17
0.145,0.18
0.145,0.185
0.145,0.19
0.145,0.195
0.145,0.2
0.145,0.205
0.145,0.21
0.14,0.22
0.14,0.225
0.14,0.23
0.14,0.235
0.14,0.24
0.135,0.25
0.135,0.255
0.135,0.26
0.135,0.265
0.13,0.275
0.13,0.28
0.13,0.285
0.13,0.29
0.13,0.295
0.125,0.305
0.125,0.31
0.125,0.315
0.125,0.32
0.125,0.325
0.125,0.33
0.125,0.335
0.13,0.345
0.13,0.35
0.13,0.355
0.13,0.36
0.135,0.37
0.135,0.375
0.135,0.38
0.14,0.39
0.14,0.395
0.145,0.405
0.145,0.41
0.15,0.42
0.155,0.43
0.16,0.44
0.165,0.45
0.17,0.46
0.175,0.47
0.18,0.48
0.19,0.495
0.205,0.515
0.25,0.56
0.265,0.57
0.275,0.575
0.285,0.58
0.29,0.58
0.3,0.585
0.31,0.59
0.315,0.59
0.32,0.59
0.33,0.595
0.335,0.595
0.345,0.6
0.35,0.6
0.36,0.605
0.365,0.605
0.37,0.605
0.38,0.61
0.385,0.61
0.395,0.615
0.4,0.615
0.41,0.62
0.415,0.62
0.425,0.625
0.43,0.625
0.44,0.63
0.445,0.63
0.455,0.635
0.46,0.635
0.48,0.615
0.48,0.61
0.48,0.605
0.48,0.6
0.48,0.595
0.48,0.59
0.48,0.585
0.48,0.58
0.48,0.575
0.48,0.57
0.48,0.565
0.48,0.56
0.48,0.555
0.48,0.55
0.48,0.545
0.48,0.54
0.485,0.53
0.485,0.525
0.485,0.52
0.49,0.51
0.49,0.505
0.49,0.5
0.495,0.49
0.49,0.48
0.49,0.475
0.49,0.47
0.49,0.465
0.49,0.46
0.49,0.455
0.49,0.45
0.49,0.445
0.49,0.44
0.49,0.435
0.49,0.43
0.495,0.42
0.495,0.415
0.495,0.41
0.5,0.4
0.5,0.395
0.5,0.39
0.5,0.385
0.5,0.38
0.5,0.375
0.5,0.37
0.5,0.365
0.5,0.36
0.505,0.35
0.505,0.345
0.51,0.335
0.515,0.325
0.515,0.32
0.515,0.315
0.515,0.31
0.515,0.305
0.515,0.3
0.525,0.285
0.53,0.275
0.53,0.27
0.53,0.265
0.53,0.26
0.54,0.245
0.54,0.235
0.55,0.23
0.555,0.215
0.56,0.205
0.555,0.205
0.57,0.185
0.575,0.17
0.585,0.165
0.585,0.155
0.61,0.125
0.61,0.12
0.62,0.105
0.635,0.085
0.635,0.08
0.64,0.07
0.64,0.065
0.625,0.045
0.615,0.04
0.61,0.04
0.605,0.04
0.6,0.04
0.595,0.04
0.59,0.04
0.585,0.04
0.58,0.04
0.575,0.04
0.57,0.04
0.565,0.04
0.56,0.04
0.555,0.04
0.545,0.03
0.535,0.02
0.53,0.02
0.52,0.015
0.515,0.015
0.51,0.015
0.505,0.015
0.5,0.015
0.495,0.015
0.49,0.015
0.48,0.02
0.475,0.02
0.47,0.02
0.46,0.025
0.45,0.03
0.445,0.03
0.435,0.035
0.43,0.035
0.425,0.035
0.42,0.035
0.415,0.035
0.405,0.04
0.4,0.04
0.395,0.04
0.39,0.04
0.385,0.04
0.38,0.04
0.37,0.045
0.365,0.045
0.36,0.045
0.355,0.045
0.35,0.045
0.34,0.05
0.335,0.05
0.33,0.05
0.325,0.05
0.32,0.05
0.31,0.055
0.305,0.055
0.3,0.055
0.29,0.06
0.28,0.065
0.275,0.065
0.265,0.07
0.25,0.08
0.235,0.09
0.215,0.105
0.2,0.115
0.155,0.16
