ISO3,Time,ecnm,decnm,yng,old,dyng,dold
ESP,1968,0.7034348121909497,0.014213447752290609,0.2776979428617881,0.09241777504610384,0.0004963551821174916,0.0015771578488907034
ESP,1969,0.7176482599432403,0.018085261202518743,0.2781942980439056,0.09399493289499454,0.0006283600558072977,0.0015607245947875104
ESP,1970,0.7357335211457591,0.010869792188688776,0.2788226580997129,0.09555565748978205,-0.00014574467131844848,0.002063733451711028
ESP,1971,0.7466033133344478,0.025167391145719198,0.27867691342839446,0.09761939094149308,-0.000308588760448425,0.0013157015937934058
ESP,1972,0.771770704480167,0.021159685479973156,0.27836832466794603,0.09893509253528648,-0.0012131582148582343,0.0016249753182015492
ESP,1973,0.7929303899601402,-0.06663689728778666,0.2771551664530878,0.10056006785348803,-0.0012667712022240152,0.0014291094909007207
ESP,1974,0.7262934926723535,-0.046919703492156906,0.2758883952508638,0.10198917734438875,-0.0016278702843161574,0.0004140358716212267
ESP,1975,0.6793737891801966,-0.01656272909036416,0.2742605249665476,0.10240321321600998,-0.0017717656637229462,0.0018257269366541845
ESP,1976,0.6628110600898325,0.019304827683744863,0.2724887593028247,0.10422894015266417,-0.0012948066817916049,0.0014049857505772645
ESP,1977,0.6821158877735773,0.04148999382314211,0.2711939526210331,0.10563392590324143,-0.002080185324786654,0.0017410832838981316
ESP,1978,0.7236058815967195,0.02424219136070116,0.2691137672962464,0.10737500918713956,-0.0030376068354739383,0.0015830305826829288
ESP,1979,0.7478480729574206,-0.01535283253353037,0.2660761604607725,0.10895803976982249,-0.0043069525156935184,0.0017830328351226832
ESP,1980,0.7324952404238902,-0.026109156799236977,0.26176920794507896,0.11074107260494517,-0.004276840319715647,0.0017579085584531057
ESP,1981,0.7063860836246533,-0.005424626478283456,0.2574923676253633,0.11249898116339828,-0.0053449377994759795,0.0013686393092848803
ESP,1982,0.7009614571463698,-0.0021230796297218024,0.25214742982588734,0.11386762047268316,-0.005282520527616158,0.0016204103553160154
ESP,1983,0.698838377516648,0.0119996384289498,0.24686490929827118,0.11548803082799917,-0.0052862876545505255,0.0014938261410797349
ESP,1984,0.7108380159455978,0.011125997385320496,0.24157862164372065,0.11698185696907891,-0.005577912005513358,0.0018440354733470221
ESP,1985,0.7219640133309183,0.07012533677076083,0.2360007096382073,0.11882589244242593,-0.005880204761876895,0.002423932654077282
ESP,1986,0.7920893501016791,0.010303423214775953,0.2301205048763304,0.12124982509650321,-0.006356510604104082,0.003044880195591307
ESP,1987,0.8023927733164551,0.016717309851762008,0.22376399427222632,0.12429470529209452,-0.006772459339942,0.0034983357502247348
ESP,1988,0.8191100831682171,0.01339397848199142,0.21699153493228432,0.12779304104231926,-0.006879073095795857,0.0034758893757609044
ESP,1989,0.8325040616502085,0.008417441109962787,0.21011246183648846,0.13126893041808016,-0.007378322995018838,0.003584827775855226
ESP,1990,0.8409215027601713,0.02737689552766731,0.20273413884146962,0.13485375819393539,-0.007786856188072844,0.0035229536418927565
ESP,1991,0.8682983982878386,0.0031196516223247484,0.19494728265339678,0.13837671183582814,-0.007195741446649723,0.0030412070695816917
ESP,1992,0.8714180499101634,-0.03493004911325659,0.18775154120674706,0.14141791890540983,-0.006545377554440318,0.0028878244978759737
ESP,1993,0.8364880007969068,-0.03032860084031852,0.18120616365230674,0.1443057434032858,-0.006477315291684604,0.00304175584251018
ESP,1994,0.8061593999565883,-0.0018076096113894824,0.17472884836062214,0.147347499245796,-0.006161638790308344,0.0031556157020819764
ESP,1995,0.8043517903451988,0.010490015415617115,0.1685672095703138,0.15050311494787796,-0.005573006976531125,0.0034339372025167514
ESP,1996,0.8148418057608159,0.011003458094035579,0.16299420259378267,0.15393705215039472,-0.00491272838423501,0.0031330249258849363
ESP,1997,0.8258452638548515,-0.000381532948743768,0.15808147420954766,0.15707007707627965,-0.004188386054286258,0.0033083917340679947
ESP,1998,0.8254637309061077,0.012919622008320197,0.1538930881552614,0.16037846881034765,-0.0034560640874488346,0.0031324052904445343
ESP,1999,0.8383833529144279,-0.007833493956493132,0.15043702406781256,0.16351087410079218,-0.002651577808982758,0.0023947702191699505
ESP,2000,0.8305498589579348,0.006271332111925321,0.1477854462588298,0.16590564431996213,-0.0018279082803544788,0.0025206893031006206
ESP,2001,0.8368211910698601,0.00807657700837916,0.14595753797847533,0.16842633362306275,-0.001058172145929126,0.002665515761138576
