행정구역,성별,연령별,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,30세,118792.5,122443.5,120614.5,114409.5,110576.5,104175,97843,95993.5,92707.5,96038.5,102330,102382,100267.5,94567.5,85116.5,78685.5,76165.5,72853,72671.5,73839.5,74981,79017.5
서울특별시,남자,31세,112755,115498.5,118111.5,116656.5,111219,107712.5,101763.5,95767,94197.5,91251,93936.5,99660.5,100130,98235,92777,83499.5,76905,74776,71915.5,71977,73411,74054
서울특별시,남자,32세,103684.5,109515,111144.5,114010.5,113239,108043.5,104922,99231.5,93559,92279,88805,91214.5,97257.5,97757,95864.5,90341,81198.5,75144.5,73227.5,70681,71072,72028
서울특별시,남자,33세,95418,100859.5,105882.5,107625.5,110822.5,110377,105503,102470,96802,91386.5,89759,86118,88785,94642.5,95229,93251.5,87570.5,78968.5,73305,71605,69526.5,69480.5
서울특별시,남자,34세,93135.5,93049.5,97666.5,102535,104634,108110,107915,103071.5,100129.5,94785.5,88977,86898,83472.5,86258,92050,92356,90188,84958.5,76787,71457,70054,67625.5
서울특별시,남자,35세,92151.5,90966.5,90467.5,95048,100000,102260.5,105681.5,105446.5,100774.5,97943.5,92170,86094.5,84271,80913.5,83586.5,89133,89202,87319.5,82378,74539.5,69785,68094
서울특별시,남자,36세,88979.5,90268.5,88729.5,88219.5,92798.5,97955,100417,103627,103284,98682,95174.5,89212,83506.5,81798,78752.5,81069,86116,86423,84629,79886.5,72564,67708
서울특별시,남자,37세,89959.5,87707.5,88492.5,86914.5,86548,91126.5,96366,98708,101769,101471.5,96379,92410.5,86585.5,81221.5,79693,76397.5,78358.5,83471,83687,81927.5,77651.5,70432
서울특별시,남자,38세,93429.5,88822,86210,86890,85364.5,85140.5,89746,95013.5,97293,100175.5,99182.5,93785,90124,84369.5,79250.5,77552.5,74009,76052.5,80840,81228,79943.5,75424
서울특별시,남자,39세,95020.5,92510,87484.5,84841,85619.5,84238.5,84072.5,88644.5,93799.5,96024,98276,96763,91500,88074,82571,77249,75334,72041,73954,78685.5,79408.5,77890
서울특별시,남자,40세,94153,94349.5,91475,86288.5,83632.5,84521,83396.5,83244,87715,92850.5,94405,96116,94641.5,89479.5,86363.5,80746,75182,73431,70084,72022.5,76969,77471.5
서울특별시,남자,41세,89749.5,93557,93350,90340,85328.5,82887,83872.5,82781,82645,87039.5,91674.5,92719.5,94332,92945.5,87878,84503.5,78711,73331.5,71639,68495,70569.5,75179
서울특별시,남자,42세,87963.5,89215,92835,92464.5,89340,84510,82383.5,83518,82434,82225.5,86048,90199.5,91159,92793,91531.5,86351.5,82737,77106.5,71803.5,70173.5,67406.5,69169.5
서울특별시,남자,43세,84997,87397,88477,91934,91553,88614,83982,82070,83250.5,82014,81404.5,84888.5,88921,89975,91687.5,90090,84687.5,81202,75603,70526,69115.5,66146.5
서울특별시,남자,44세,83683,84410,86580,87485,91007.5,90795,88141.5,83736,81803,82917,81277,80338,83713,87710.5,88840,90275.5,88418.5,83159,79731,74399.5,69553.5,67949
서울특별시,남자,45세,80619,82891.5,83454,85485,86473,90152,90199,87727,83385,81415.5,82226.5,80302,79289.5,82692.5,86760.5,87622.5,88744,86937,81739.5,78497,73405.5,68460
서울특별시,남자,46세,71338,79816,81843.5,82316,84409.5,85634.5,89549.5,89724,87295,83010,80706,81104,79180,78282.5,81714,85566,86198.5,87300,85535,80466,77391.5,72268.5
서울특별시,남자,47세,70908.5,70471,78690,80681.5,81235.5,83507.5,84891.5,88801.5,89100.5,86838,82325.5,79728.5,79961,78017,77250.5,80472,84051,84778.5,85866.5,84156,79403,76259
서울특별시,남자,48세,63645,69748.5,69137.5,77306.5,79444.5,80227,82830,84259,88057,88510,86062,81353.5,78716,78959.5,77124.5,76177.5,79166,82729,83455.5,84615,83089.5,78276
서울특별시,남자,49세,56272,62613,68461,67889.5,76145,78465.5,79369.5,82002.5,83524.5,87292.5,87447,84876,80136.5,77556,78039.5,76091,74861.5,77875,81436.5,82216,83516,81846
서울특별시,남자,50세,60023.5,55366,61327.5,67061,66669.5,74990,77534.5,78532,81113.5,82707,86292,86320,83796.5,79122.5,76647.5,76914,74746.5,73608,76682.5,80268,81147,82276
서울특별시,남자,51세,60301.5,58912.5,54145,60036,65829.5,65698.5,74081.5,76621.5,77672,80334.5,81761,85217,85074,82521.5,78091.5,75470.5,75486,73415.5,72451,75560,79203,79876.5
서울특별시,남자,52세,61067,59117,57595.5,52955.5,58909.5,64794.5,64859,73179,75739.5,76899.5,79252,80441.5,83932.5,83847,81368,76889,74111,74170,72246,71368.5,74487.5,77915
서울특별시,남자,53세,56234,59778,57747.5,56305,51918,57995,63932,64053,72272.5,74800.5,75709,77882,79085.5,82560,82678.5,80166.5,75441.5,72661.5,72864,71090,70287,73237.5
서울특별시,남자,54세,48361.5,54954.5,58255,56375.5,55184,51071.5,57219,63185,63303,71355,73670.5,74437.5,76594.5,77894.5,81392.5,81252,78622,74082,71391,71677.5,70044.5,69096
서울특별시,남자,55세,46758.5,47349.5,53639,56881.5,55226,54223,50311.5,56370,62226,62444.5,70216,72317,73094.5,75288,76700.5,79997,79559.5,77028,72681,70074,70448.5,68769.5
