Age,M,F
0-4,578243,551065
5-9,659865,631855
10-14,649150,620783
15-19,663823,638223
20-24,641991,623449
25-29,608789,596835
30-34,598361,579564
35-39,476187,457635
40-44,408358,390303
45-49,375490,357126
50-54,389867,373996
55-59,359200,364610
60-64,281382,308293
65-69,242996,279925
70-74,168570,213119
75-79,101034,151422
80-84,48591,98407
85-89,20467,53149
90-94,5656,16041
95-99,876,3317
100+,74,313
