Age,M,F
0-4,750450,711435
5-9,696508,661685
10-14,721987,674489
15-19,775192,715748
20-24,851138,790725
25-29,841934,810870
30-34,739957,745017
35-39,807708,816551
40-44,761467,766567
45-49,786927,790175
50-54,727651,734537
55-59,646103,655134
60-64,609862,601333
65-69,443452,448474
70-74,342640,355469
75-79,254986,293228
80-84,189075,250332
85-89,99555,167080
90-94,27007,66042
95-99,5342,18323
100+,431,2101
