Age,M,F
0-4,643846,611925
5-9,644599,611969
10-14,633945,600213
15-19,709950,677582
20-24,686994,669161
25-29,711979,703673
30-34,697182,693781
35-39,654958,654186
40-44,636748,616417
45-49,495614,472398
50-54,414058,395983
55-59,363920,355784
60-64,361719,366384
65-69,309289,344004
70-74,218008,270814
75-79,153551,219139
80-84,79960,139097
85-89,29783,70034
90-94,7522,26055
95-99,1332,6263
100+,126,655
