Age,M,F
0-4,2321103,2187187
5-9,2344312,2226335
10-14,2258979,2143586
15-19,1702249,1587939
20-24,1416144,1284059
25-29,1137223,1098361
30-34,1103889,1067608
35-39,870690,962813
40-44,675368,768443
45-49,641141,688595
50-54,511563,523878
55-59,415157,453524
60-64,337917,360418
65-69,194004,248406
70-74,135083,200924
75-79,71450,132035
80-84,30244,70469
85-89,4563,16849
90-94,300,2686
95-99,5,165
100+,0,15
