Age,M,F
0-4,1592402,1450927
5-9,1399545,1278252
10-14,1281181,1160792
15-19,828252,968156
20-24,654722,825488
25-29,703688,732229
30-34,611431,604064
35-39,560172,547370
40-44,533918,477945
45-49,372394,369702
50-54,338035,354864
55-59,261235,304346
60-64,200641,248636
65-69,114051,146675
70-74,63203,89411
75-79,24980,36329
80-84,20912,33252
85-89,5852,10972
90-94,1268,2701
95-99,372,806
100+,57,159
