Age,M,F
0-4,665916,631901
5-9,661686,629487
10-14,662431,629747
15-19,651258,618821
20-24,718531,697620
25-29,690722,687563
30-34,728193,729612
35-39,709752,712243
40-44,665105,666358
45-49,633275,615551
50-54,488163,469190
55-59,401320,391191
60-64,350617,353380
65-69,331204,350825
70-74,266802,319405
75-79,170359,233790
80-84,102170,174383
85-89,41145,89516
90-94,10607,32854
95-99,1621,7621
100+,159,989
