Age,M,F
0-4,846984,802274
5-9,889892,843868
10-14,874677,833139
15-19,863973,827282
20-24,818005,791057
25-29,848723,830331
30-34,942235,911103
35-39,964829,965347
40-44,935915,938240
45-49,814503,824907
50-54,825459,843150
55-59,757559,782730
60-64,748578,770469
65-69,666619,707643
70-74,563777,605927
75-79,471836,517693
80-84,297505,346483
85-89,163060,212327
90-94,66140,108496
95-99,15952,34339
100+,1587,5139
