Age,M,F
0-4,1659821,1458436
5-9,1979113,1851769
10-14,2042954,1925327
15-19,2295505,2155436
20-24,2258218,2151206
25-29,2197151,2111743
30-34,2107102,2021580
35-39,1548196,1494451
40-44,1332334,1227251
45-49,1074784,1063572
50-54,991573,993539
55-59,709510,871309
60-64,485451,665164
65-69,387639,555031
70-74,237337,372126
75-79,128610,259384
80-84,58808,145058
85-89,15656,57590
90-94,3849,20023
95-99,503,3886
100+,34,387
