Age,M,F
0-4,610799,581639
5-9,601492,571665
10-14,683087,651521
15-19,665617,636799
20-24,682725,659552
25-29,664372,650219
30-34,626636,623196
35-39,620447,600289
40-44,487994,465731
45-49,412924,392459
50-54,371753,355225
55-59,378082,368334
60-64,338506,358564
65-69,253568,292221
70-74,202581,256642
75-79,124564,181034
80-84,61620,114123
85-89,22837,58870
90-94,6687,23203
95-99,1126,4372
100+,101,496
