Age,M,F
0-4,2064362,1930867
5-9,2307417,2160889
10-14,2274012,2146877
15-19,2246151,2142064
20-24,2119426,2025368
25-29,1588286,1494161
30-34,1346434,1237623
35-39,1120951,1080923
40-44,1070762,1034260
45-49,817163,923697
50-54,598265,725092
55-59,533861,635299
60-64,387972,466826
65-69,273980,381614
70-74,184169,277022
75-79,80534,163429
80-84,36817,99959
85-89,10999,42209
90-94,2351,12066
95-99,146,1236
100+,3,63
