Age,M,F
0-4,857499,812208
5-9,841026,798241
10-14,825846,784728
15-19,777475,742431
20-24,811222,783346
25-29,909705,871181
30-34,939585,935876
35-39,921591,921292
40-44,810368,818343
45-49,831536,845813
50-54,768934,789390
55-59,767400,782011
60-64,693712,724814
65-69,601807,630854
70-74,527592,555787
75-79,365811,397186
80-84,241273,281672
85-89,136756,192294
90-94,56263,100294
95-99,12306,30076
100+,918,3419
