Age,M,F
0-4,633191,605335
5-9,642378,610735
10-14,633615,604653
15-19,564045,545843
20-24,577806,553477
25-29,467748,435609
30-34,405723,380189
35-39,375658,354191
40-44,416205,388444
45-49,399941,386422
50-54,325211,326420
55-59,302775,305420
60-64,240686,256672
65-69,182285,201370
70-74,121561,168376
75-79,76304,123290
80-84,42606,72930
85-89,16026,33876
90-94,3844,9827
95-99,547,1612
100+,42,142
