Age,M,F
0-4,661475,617261
5-9,704487,650790
10-14,687599,644259
15-19,668288,636442
20-24,634623,622475
25-29,722032,723290
30-34,699379,703888
35-39,768522,755102
40-44,716529,720229
45-49,662763,668326
50-54,642395,620967
55-59,477564,460854
60-64,394867,386587
65-69,330396,338801
70-74,299828,328821
75-79,220720,285920
80-84,109408,184839
85-89,55011,115367
90-94,15178,42938
95-99,2292,9563
100+,188,1171
