Age,M,F
0-4,1660531,1511076
5-9,1855270,1631471
10-14,1653442,1455273
15-19,1981142,1859020
20-24,2035020,1930692
25-29,2299981,2175666
30-34,2242325,2153378
35-39,2165720,2105272
40-44,2053440,2006322
45-49,1484159,1475451
50-54,1246931,1200734
55-59,972021,1026974
60-64,852866,940298
65-69,564948,794351
70-74,340077,564129
75-79,221018,411158
80-84,99422,218499
85-89,34279,105735
90-94,8321,34585
95-99,928,6425
100+,70,816
