Age,M,F
0-4,1737521,1664762
5-9,1501380,1371151
10-14,1360603,1242413
15-19,1258335,1138829
20-24,808584,946912
25-29,635627,804461
30-34,679391,710940
35-39,585926,583521
40-44,530623,524446
45-49,496997,452094
50-54,338030,343052
55-59,296228,320252
60-64,218016,263984
65-69,156248,203654
70-74,80671,110786
75-79,39309,60464
80-84,13119,21177
85-89,1646,10499
90-94,241,2200
95-99,83,305
100+,25,59
