Age,M,F
0-4,594149,564649
5-9,578614,550701
10-14,543346,519590
15-19,517528,491452
20-24,418058,396352
25-29,370366,349722
30-34,355975,331737
35-39,394128,365835
40-44,388692,372662
45-49,329845,325072
50-54,318969,311125
55-59,267851,257111
60-64,209086,215528
65-69,157382,191683
70-74,115783,160275
75-79,77803,113070
80-84,39049,65892
85-89,13864,27396
90-94,3323,7658
95-99,465,1252
100+,37,111
