Age,M,F
0-4,803139,761206
5-9,786535,743948
10-14,732771,692615
15-19,763751,726463
20-24,865924,816258
25-29,901325,889150
30-34,891566,886555
35-39,792466,797854
40-44,826388,837893
45-49,774701,791565
50-54,780104,789108
55-59,713018,736538
60-64,629071,647507
65-69,567327,580742
70-74,413963,429012
75-79,302297,326123
80-84,207977,259187
85-89,120446,181710
90-94,44822,89371
95-99,7078,21439
100+,686,2900
