Age,M,F
0-4,974300,922711
5-9,1158751,1098051
10-14,1174844,1101938
15-19,1289269,1187207
20-24,1683129,1533115
25-29,1870859,1629191
30-34,1733487,1548938
35-39,1974613,1822801
40-44,2015813,1909121
45-49,2186422,2107488
50-54,2168485,2147031
55-59,2082574,2078609
60-64,1855904,1918662
65-69,1287861,1391279
70-74,929821,1068270
75-79,664900,897655
80-84,403886,679943
85-89,160921,379182
90-94,41739,143170
95-99,7689,35207
100+,587,3760
