Age,M,F
0-4,504929,483682
5-9,478358,456314
10-14,375088,359389
15-19,312197,298649
20-24,307216,283393
25-29,363562,330629
30-34,372092,349939
35-39,326525,317581
40-44,329481,313260
45-49,291086,265061
50-54,245399,229338
55-59,205328,214852
60-64,178197,198975
65-69,147046,165819
70-74,98416,119097
75-79,56516,76999
80-84,29412,43812
85-89,10968,17712
90-94,2864,5050
95-99,491,843
100+,55,80
