Age,M,F
0-4,646963,619006
5-9,637238,606509
10-14,659584,622971
15-19,627753,602831
20-24,586606,573222
25-29,587233,564419
30-34,477575,449597
35-39,416831,395545
40-44,384061,361206
45-49,406940,382205
50-54,381420,374052
55-59,308529,318238
60-64,275534,297147
65-69,210049,237235
70-74,144062,184851
75-79,83069,135568
80-84,45408,92849
85-89,17837,38771
90-94,4498,12759
95-99,650,2223
100+,52,194
