Age,M,F
0-4,2331812,2181992
5-9,2291149,2160946
10-14,2321321,2207043
15-19,2186897,2079848
20-24,1641342,1535938
25-29,1360897,1249682
30-34,1118067,1081967
35-39,1081848,1051054
40-44,845035,944472
45-49,642872,748572
50-54,594252,664276
55-59,455072,498119
60-64,348656,421766
65-69,261189,323950
70-74,135368,211544
75-79,80211,153979
80-84,32470,83788
85-89,10067,33978
90-94,1041,5580
95-99,40,539
100+,0,18
