Age,M,F
0-4,1316570,1197788
5-9,1660159,1511398
10-14,1853100,1630102
15-19,1650900,1453917
20-24,1956754,1840607
25-29,2040350,1939443
30-34,2300260,2181057
35-39,2240027,2159407
40-44,2144778,2099922
45-49,2016403,1995398
50-54,1442114,1462329
55-59,1194729,1183745
60-64,910081,1003261
65-69,767578,902165
70-74,476662,734567
75-79,257447,484287
80-84,140847,307163
85-89,48778,129533
90-94,11590,44203
95-99,1709,8920
100+,101,918
