Age,M,F
0-4,893642,845386
5-9,975678,923251
10-14,1159714,1098471
15-19,1181128,1105233
20-24,1300196,1192816
25-29,1691952,1537416
30-34,1875047,1630958
35-39,1733538,1548602
40-44,1967826,1819612
45-49,1999799,1902770
50-54,2155414,2096561
55-59,2121663,2131310
60-64,2017776,2056303
65-69,1770258,1885379
70-74,1188115,1346394
75-79,801548,997620
80-84,507415,774655
85-89,249949,500839
90-94,71642,211660
95-99,11580,52218
100+,1093,6951
