Age,M,F
0-4,1158278,1097982
5-9,1174522,1101854
10-14,1286097,1185560
15-19,1678307,1530602
20-24,1867880,1627696
25-29,1733217,1549122
30-34,1978787,1825316
35-39,2025631,1913846
40-44,2207118,2115917
45-49,2203263,2159666
50-54,2133185,2095674
55-59,1921400,1941722
60-64,1356392,1418526
65-69,1015877,1107824
70-74,782192,968136
75-79,541753,799098
80-84,269509,527961
85-89,98504,266774
90-94,29443,101729
95-99,4342,19748
100+,327,2310
