Age,M,F
0-4,557722,530903
5-9,524893,502271
10-14,499579,475823
15-19,391871,373295
20-24,344105,323549
25-29,339694,312042
30-34,384830,352561
35-39,385220,366192
40-44,332473,324627
45-49,329727,315340
50-54,283613,262650
55-59,231497,224256
60-64,185306,206128
65-69,149823,183476
70-74,115089,143654
75-79,66422,92307
80-84,33495,53545
85-89,12084,21517
90-94,2964,5966
95-99,438,996
100+,41,86
