Age,M,F
0-4,454774,433968
5-9,358220,344564
10-14,296797,286893
15-19,281893,270289
20-24,327221,311304
25-29,343769,329117
30-34,309455,305004
35-39,315552,304922
40-44,286396,262915
45-49,251131,232338
50-54,217777,220838
55-59,198171,209684
60-64,174442,181996
65-69,127239,139792
70-74,84188,100370
75-79,51276,63980
80-84,27381,37490
85-89,10820,15783
90-94,3234,4684
95-99,648,862
100+,81,90
