Age,M,F
0-4,2377582,2250927
5-9,1794793,1667820
10-14,1502174,1358739
15-19,1226436,1133749
20-24,1115596,1072132
25-29,887673,976382
30-34,709619,796265
35-39,697689,726793
40-44,583483,566315
45-49,506610,507471
50-54,453439,423562
55-59,297312,313640
60-64,247639,282630
65-69,169560,221289
70-74,110295,158529
75-79,49612,77335
80-84,19672,35951
85-89,1782,6669
90-94,86,2007
95-99,9,226
100+,9,20
