Age,M,F
0-4,1989139,1859693
5-9,2048424,1917106
10-14,2294730,2150790
15-19,2266541,2139424
20-24,2206179,2111766
25-29,2110630,2024421
30-34,1573298,1504650
35-39,1352082,1229531
40-44,1110272,1066974
45-49,1034679,1015164
50-54,766211,899036
55-59,544568,697422
60-64,463241,599807
65-69,312428,425666
70-74,197338,327389
75-79,112452,215130
80-84,39441,108743
85-89,13846,53158
90-94,2959,16436
95-99,396,3059
100+,13,174
