Age,M,F
0-4,1182468,1106470
5-9,1317357,1198907
10-14,1660269,1512170
15-19,1859277,1637870
20-24,1628343,1436221
25-29,1911862,1798144
30-34,2001778,1908110
35-39,2263214,2148658
40-44,2225153,2155026
45-49,2115663,2090458
50-54,1970935,1980408
55-59,1393778,1445901
60-64,1136145,1162979
65-69,839769,973228
70-74,669965,851814
75-79,378712,654857
80-84,174597,385155
85-89,74491,199306
90-94,18026,60817
95-99,2622,13078
100+,201,1436
