Age,M,F
0-4,651143,617500
5-9,686110,640805
10-14,729628,673140
15-19,716277,673639
20-24,721124,691498
25-29,664101,661845
30-34,752140,759970
35-39,725176,728698
40-44,783880,773782
45-49,722181,727971
50-54,657037,663600
55-59,628289,614611
60-64,460869,456323
65-69,371883,376151
70-74,298125,318601
75-79,250495,294591
80-84,163129,236024
85-89,63098,127072
90-94,21648,58005
95-99,3474,13126
100+,262,1522
