Age,M,F
0-4,1857249,1632172
5-9,1654932,1455391
10-14,1977942,1852758
15-19,2041655,1927430
20-24,2288423,2156734
25-29,2247153,2149483
30-34,2180177,2106986
35-39,2081681,2013535
40-44,1518755,1485208
45-49,1292650,1214545
50-54,1026730,1046193
55-59,927436,969317
60-64,642520,837858
65-69,416992,622535
70-74,305922,493969
75-79,164864,302984
80-84,73711,182912
85-89,25574,82563
90-94,4696,24098
95-99,686,5442
100+,53,606
